t_sec,HR,MAP,CO,SV,SVR,sympathetic,parasympathetic,contractility_factor,MAP_error,respiratory_rate,PaCO2,PaO2,arterial_pH,O2_saturation,glucose,lactate,HCO3,potassium,sodium,factor_VII,factor_II,PT_sec,aPTT_sec,fibrinogen,coagulation_state,cortisol,T3,insulin,glucagon,HPA_axis,vdp_x,vdp_v,vdp_omega,vdp_mu,chemical_drive,blood_volume_ml,blood_volume_ratio,GFR,urine_output,BUN,extra_volume_ml,inter_volume_ml,intra_volume_ml
0.0,85.00075004375,99.955,1700.0,20.0,1.410423024675,0.3000175,0.6999949999999999,1.0,0.00045000000000001706,18.06396876,40.0,62.23090000000002,7.401029995663981,0.9152765041910915,4.5,0.9997946666666667,24.000000000000004,4.2,145.0,0.9999989333333333,0.9999989333333333,12.000059973074713,29.996666683259285,300.0,2.6666666666666667e-05,5.000111111111111,100.00000000101002,12.0,80.0,0.05,1.9681682988495528,-0.5911779203475093,1.9184495565664172,1.504442275,0.0,1719.999715177,0.9999998344052327,63.0,0.5696459999999988,14.964285714285714,1599.9933333333333,3000.0086666666666,7999.998
1.0,85.00657552990447,99.96194434721642,1700.1189966018117,19.999987060417098,1.410321876323679,0.3001193931032283,0.699960420158655,1.0,0.0003805565278358358,17.59050960175619,30.249479888907935,74.4190501388651,7.522372075220618,0.9468811678049386,4.5,0.9977436267610745,24.000000000000004,4.2,145.0,0.9999882668133323,0.9999882668133323,12.000659692832667,29.96339547727338,300.0,0.0002931704246792886,5.001221543436164,100.0000000666557,12.0,80.0,0.05,0.03644056714635485,-3.7957436998017684,1.891915427259505,1.452416698808292,0.0,1719.9967926227498,0.9999981352457847,63.0,0.5966730000000027,14.692000065911754,1599.9266666666667,3000.0953362851906,7999.977997048142
2.0,85.01210945256219,99.96403253575147,1700.229119993511,19.999973188152303,1.4103042706811495,0.30017481234382304,0.6999339657346689,1.0,0.00035967464248528816,16.020750007787523,29.77157043457115,75.0164369567861,7.529288242937099,0.947995962961833,4.5,0.9956967508726979,24.000000000000007,4.2,145.0,0.9999776005599913,0.9999776005599913,12.00125939261079,29.93023666588621,300.0,0.0005593782154190127,5.002330742564247,100.00000023327338,12.0,80.0,0.05,-1.9509946913119967,0.9187989187515251,1.6349575531601472,1.2036229914041194,0.0,1719.9938092577497,0.9999964007312498,63.0,0.5966730000000027,14.528972590205795,1599.8600000000001,3000.182011271587,7999.957988728412
3.0,85.017340543781,99.9660044573466,1700.33315258231,19.999959312036044,1.410287615510316,0.3002023270541119,0.6999141985188159,1.0,0.00033995542653400437,17.482348414537732,28.472766610788227,76.63994173651474,7.5486603187412715,0.9508733883405346,4.5,0.9936540306552378,24.00000000000001,4.2,145.0,0.9999669345733037,0.9999669345733037,12.001859072409745,29.897189875021333,300.0,0.0008252903675739869,5.003438709864894,100.00000050083503,12.0,80.0,0.05,0.20944092834237277,4.175799668254865,1.8454647938785296,1.3990791771195314,0.0,1719.9908258927496,0.9999946662167148,63.0,0.5966730000000027,14.43136201838985,1599.7933333333335,3000.2686916270786,7999.937975039586
4.0,85.02228526293034,99.96786676519264,1700.4314253464172,19.999945435919763,1.4102718698746433,0.3002134494741908,0.6998997924527317,1.0,0.00032133234807361075,15.970943672734588,29.895158103540275,74.86195237057467,7.5274891324198006,0.9477106633745234,4.5,0.9916154577789491,24.00000000000001,4.2,145.0,0.9999562688532627,0.9999562688532627,12.002458732230194,29.864254731847375,300.0,0.001090907209467333,5.004545446706118,100.00000086931257,12.0,80.0,0.05,1.8976359807094718,-1.0471732485679852,1.636798179770526,1.2034739417147078,0.0,1719.9878425277495,0.99999293170218,63.0,0.5966730000000027,14.372918963383466,1599.726666666667,3000.355377352892,7999.91795598044
5.0,85.0269593112862,99.96962565317031,1700.5242538764496,19.999931559803485,1.4102569899460806,0.3002150545244455,0.6998896698837417,1.0,0.0003037434682968865,17.410792791762354,27.45015486486242,77.918206418922,7.564545188050442,0.9529923082575474,4.5,0.9895810239306077,24.00000000000001,4.2,145.0,0.9999456033998619,0.9999456033998619,12.003058372072813,29.83143086477386,300.0,0.0013562290690575503,5.005650954454409,100.00000133867798,12.0,80.0,0.05,-0.48261486237097706,-4.430039110969971,1.7916506439329198,1.3495562159872143,0.0,1719.9848591627494,0.9999911971876451,63.0,0.5966730000000027,14.337926947509198,1599.6600000000003,3000.4420684502516,7999.897931549748
6.0,85.03137760533372,99.97128692497964,1700.611938084964,19.999917683687205,1.4102429313728517,0.300211241748023,0.6998829557464817,1.0,0.0002871307502036302,16.02323483486157,30.03870106553999,74.68252366807504,7.525408838029486,0.9473766949157881,4.5,0.9875507208134773,24.00000000000001,4.2,145.0,0.9999349382130943,0.9999349382130943,12.003657991938256,29.79871790344709,300.0,0.0016212562739389236,5.006755234474748,100.00000190890323,12.0,80.0,0.05,-1.8312680198036175,1.1716596823797012,1.6963165748763893,1.2640104848025349,0.0,1719.9818757977494,0.9999894626731101,63.0,0.5966730000000027,14.31697593502686,1599.5933333333337,3000.5287649203806,7999.877901746287
7.0,85.03555428159852,99.97285603549943,1700.6947622562398,19.999903807570924,1.4102296506021545,0.3002044499900063,0.699878940170177,1.0,0.0002714396450056711,17.471107308584212,27.289521020901404,78.11899872387326,7.567094073887272,0.9533140802449193,4.5,0.9855245401472774,24.00000000000001,4.2,145.0,0.9999242732929533,0.9999242732929533,12.004257591827201,29.76611547874603,300.0,0.0018859891513419251,5.007858288130593,100.00000257996034,12.0,80.0,0.05,0.7840752333380452,4.577065763176939,1.7801164698628114,1.3434620675073705,0.0,1719.9788924327493,0.9999877281585752,63.0,0.5966730000000027,14.304431789939239,1599.526666666667,3000.615466764507,7999.857866568827
8.0,85.03950271818879,99.97433812135891,1700.7729954528336,19.999889931454646,1.410217105566389,0.30019612470035717,0.6998770479577818,1.0,0.00025661878641088266,16.009005231965713,30.209850096606072,74.46858737924242,7.52294141671298,0.9469748039721452,4.5,0.9835024736681507,24.00000000000001,4.2,145.0,0.9999136086394323,0.9999136086394323,12.004857171740307,29.733623222778192,300.0,0.00215042802813362,5.00896011678389,100.00000335182128,12.0,80.0,0.05,1.7520045544228693,-1.2778601747530909,1.6960908063243592,1.2639021806013082,0.0,1719.9759090677492,0.9999859936440402,63.0,0.5966730000000027,14.296921146904117,1599.4600000000005,3000.702173983855,7999.837826016144
9.0,85.04323556472634,99.97573802500091,1700.8468921025578,19.99987605533837,1.4102052560129674,0.30018711739870063,0.6998768136725003,1.0,0.00024261974999092217,17.242742123063376,27.588352799204767,77.74545900099406,7.5623642158919395,0.9527131221713121,4.5,0.981484513128629,24.00000000000001,4.2,145.0,0.9999029442525247,0.9999029442525247,12.00545673167824,29.70124076887558,300.0,0.0024145732308180684,5.010060721795075,100.00000422445802,12.0,80.0,0.05,-1.0374817114193533,-4.435166220909564,1.7403506276887697,1.3031222227860235,0.0,1719.972925702749,0.9999842591295053,63.0,0.5966730000000027,14.292424247481554,1599.3933333333339,3000.7888865796513,7999.817780087014
